bits, TICKS
0, 26252113 
0, 26282749 
0, 26313387 
0, 26344025 
0, 26374660 
0, 26405299 
0, 26435937 
0, 26466575 
0, 26497213 
0, 26527851 
0, 26558488 
0, 26589125 
0, 26619763 
0, 26650401 
0, 26681035 
0, 26711673 
0, 26742311 
0, 26772949 
0, 26803586 
0, 26834223 
0, 26864861 
0, 26895499 
0, 26926136 
0, 26956773 
0, 26987411 
0, 27018049 
0, 27048686 
0, 27079323 
0, 27109961 
0, 27140599 
0, 27171236 
0, 27197204 
0, 27227845 
0, 27258485 
0, 27289125 
0, 27319764 
0, 27350403 
0, 27381041 
0, 27411678 
0, 27442316 
0, 27472954 
0, 27503591 
0, 27534228 
0, 27564866 
0, 27595504 
0, 27626142 
0, 27656779 
0, 27687416 
0, 27718054 
0, 27748692 
0, 27779329 
0, 27809966 
0, 27840604 
0, 27871242 
0, 27901879 
0, 27932516 
0, 27963154 
0, 27993792 
0, 28024429 
0, 28055066 
0, 28085704 
0, 28116342 
0, 28146979 
0, 28177616 
0, 28208254 
0, 28238892 
0, 28269529 
0, 28295497 
0, 28326138 
0, 28356778 
0, 28387418 
0, 28418057 
0, 28448696 
0, 28479334 
0, 28509971 
0, 28540609 
0, 28571247 
0, 28601884 
0, 28632521 
0, 28663159 
0, 28693797 
0, 28724435 
0, 28755072 
0, 28785710 
0, 28816348 
0, 28846986 
0, 28877623 
0, 28908260 
0, 28938898 
0, 28969536 
0, 29000173 
0, 29030810 
0, 29061448 
0, 29092086 
0, 29122723 
0, 29153360 
0, 29183998 
0, 29214636 
0, 29245273 
0, 29275910 
0, 29306548 
0, 29337186 
0, 29367823 
0, 29398460 
0, 29424429 
0, 29455069 
0, 29485709 
0, 29516350 
0, 29546989 
0, 29577627 
0, 29608264 
0, 29638902 
0, 29669540 
0, 29700177 
0, 29730814 
0, 29761452 
0, 29792090 
0, 29822728 
0, 29853365 
0, 29884003 
0, 29914641 
0, 29945279 
0, 29975916 
0, 30006553 
0, 30037188 
0, 30067827 
0, 30098465 
0, 30129102 
0, 30159740 
0, 30190378 
0, 30221015 
0, 30251649 
0, 30282288 
0, 30312927 
0, 30343565 
0, 30374199 
0, 30404838 
0, 30435477 
0, 30466115 
0, 30496749 
0, 30522720 
0, 30553360 
0, 30583997 
0, 30614638 
0, 30645279 
0, 30675919 
0, 30706559 
0, 30737198 
0, 30767837 
0, 30798475 
0, 30829112 
0, 30859750 
0, 30890388 
0, 30921025 
0, 30951662 
0, 30982300 
0, 31012938 
0, 31043576 
0, 31074213 
0, 31104851 
0, 31135489 
0, 31166127 
0, 31196764 
0, 31227401 
0, 31258039 
0, 31288677 
0, 31319314 
0, 31349951 
0, 31380589 
0, 31411227 
0, 31441864 
0, 31472501 
0, 31503139 
0, 31533777 
0, 31564414 
0, 31595048 
0, 31625687 
0, 31651657 
0, 31682297 
0, 31712938 
0, 31743579 
0, 31774219 
0, 31804859 
0, 31835498 
0, 31866137 
0, 31896775 
0, 31927412 
0, 31958050 
0, 31988688 
0, 32019325 
0, 32049962 
0, 32080600 
0, 32111238 
0, 32141876 
0, 32172513 
0, 32203151 
0, 32233786 
0, 32264425 
0, 32295061 
0, 32325699 
0, 32356337 
0, 32386975 
0, 32417612 
0, 32448249 
0, 32478887 
0, 32509525 
0, 32540162 
0, 32570796 
0, 32601435 
0, 32632072 
0, 32662710 
0, 32693347 
0, 32723985 
0, 32754624 
0, 32780438 
0, 32811079 
0, 32841721 
0, 32872361 
0, 32903001 
0, 32933642 
0, 32964282 
0, 32994919 
0, 33025556 
0, 33056193 
0, 33086833 
0, 33117470 
0, 33148107 
0, 33178745 
0, 33209383 
0, 33240020 
0, 33270656 
0, 33301294 
0, 33331932 
0, 33362570 
0, 33393207 
0, 33423845 
0, 33454483 
0, 33485121 
0, 33515758 
0, 33546395 
0, 33577033 
0, 33607671 
0, 33638308 
0, 33668945 
0, 33699583 
0, 33730221 
0, 33760858 
0, 33791495 
0, 33822133 
0, 33852771 
0, 33878739 
0, 33909380 
0, 33940021 
0, 33970661 
0, 34001301 
0, 34031938 
0, 34062578 
0, 34093215 
0, 34123852 
0, 34154490 
0, 34185128 
0, 34215765 
0, 34246402 
0, 34277039 
0, 34307679 
0, 34338316 
0, 34368953 
0, 34399591 
0, 34430229 
0, 34460867 
0, 34491504 
0, 34522142 
0, 34552779 
0, 34583419 
0, 34614056 
0, 34644692 
0, 34675330 
0, 34705968 
0, 34736605 
0, 34767242 
0, 34797880 
0, 34828518 
0, 34859155 
0, 34889792 
0, 34920430 
0, 34951068 
0, 34981705 
0, 35007673 
0, 35038314 
0, 35068954 
0, 35099594 
0, 35130234 
0, 35160871 
0, 35191510 
0, 35222147 
0, 35252785 
0, 35283423 
0, 35314060 
0, 35344696 
0, 35375334 
0, 35405972 
0, 35436609 
0, 35467246 
0, 35497884 
0, 35528522 
0, 35559160 
0, 35589797 
0, 35620435 
0, 35651072 
0, 35681712 
0, 35712349 
0, 35742986 
0, 35773624 
0, 35804262 
0, 35834899 
0, 35865536 
0, 35896174 
0, 35926812 
0, 35957449 
0, 35988086 
0, 36018724 
0, 36049362 
0, 36079999 
0, 36105967 
0, 36136608 
0, 36167248 
0, 36197888 
0, 36228528 
0, 36259166 
0, 36289803 
0, 36320440 
0, 36351077 
0, 36381717 
0, 36412354 
0, 36442990 
0, 36473628 
0, 36504266 
0, 36534902 
0, 36565539 
0, 36596177 
0, 36626815 
0, 36657452 
0, 36688089 
0, 36718727 
0, 36749365 
0, 36780003 
0, 36810640 
0, 36841278 
0, 36871916 
0, 36902554 
0, 36933191 
0, 36963828 
0, 36994466 
0, 37025104 
0, 37055741 
0, 37086378 
0, 37117016 
0, 37147654 
0, 37178291 
0, 37208928 
0, 37234897 
0, 37265537 
0, 37296177 
0, 37326818 
0, 37357458 
0, 37388095 
