X, Y, Z, TICKS
1983,2005,2091,2664866
1983,2000,2089,2666549
1985,2009,2091,2668263
1984,2005,2091,2669945
1977,2005,2090,2671628
1976,2003,2088,2673311
1984,2004,2090,2674994
1985,2007,2096,2676676
1984,2004,2091,2678358
1980,2006,2090,2680041
1983,2005,2091,2681724
1984,2007,2093,2683407
1983,2007,2091,2685090
1983,2004,2090,2686772
1983,2004,2090,2688486
1983,2005,2090,2690169
1988,2005,2092,2707116
1984,2007,2090,2708818
1983,2007,2090,2710501
1981,2007,2090,2712184
1982,2003,2090,2713866
1983,2004,2092,2715548
1983,2007,2089,2717231
1983,2007,2094,2718914
1985,2006,2091,2720597
1979,2006,2090,2722280
1983,2006,2080,2723962
1983,2004,2097,2725644
1986,2005,2089,2727345
1982,2007,2088,2729028
1985,2007,2089,2730711
1984,2007,2091,2732394
1983,2007,2089,2734077
1983,2006,2087,2735759
1983,2013,2091,2737442
1982,2005,2083,2754387
1983,2006,2090,2756072
1976,2007,2091,2757755
1983,2007,2091,2759438
1985,2005,2090,2761121
